produto,modelo,cor,marca,tamanho,preco,codigo,cliente_nome,data_live,live_nome,sacolinha
Camiseta manga longa,,Rosa,Calvin klein,p,49.9,1241,daniela_dorizotti,2026-08-04,1,1
Vestido,Rendado(a),Preto(a),Zara,p,49.9,2049,taticarmona_,2026-08-04,1,2
Blusa,,Preto(a),Sex Machine,p,49.9,1110,mariadasdoresteixeiralopes,2026-08-04,1,3
Cal̤a,,Preto(a),Sex Machine,p,49.9,1122,mariadasdoresteixeiralopes,2026-08-04,1,3
Casaco,Xadrez,Vermelho(a),Elian,,49.9,807,taticarmona_,2026-08-04,1,2
Cal̤a,Tactel,Preto(a),Oshkosh,10,49.9,1079,souza_sandraa_,2026-08-04,1,4
Blusa,Moletom,Amarelo(a) e preto,,,49.9,740,haldateixeira,2026-08-04,1,5
Cal̤a,Tactel,Verde,Oshkosh,10,49.9,1845,renatacasotti.rc,2026-08-04,1,6
Colete,Puffer,Preto(a),Gap,p,49.9,1043,santosahri,2026-08-04,1,7
Jaqueta,,Preto(a),,13-14,49.9,1081,narjaraavila,2026-08-04,1,8
Cal̤a,Jeans,Azul,Mamo,40,49.9,1452,larisafugimotosakai,2026-08-04,1,27
Cal̤a,Jeans,Azul,talita cume,40,49.9,1043,carnivaladriana,2026-08-04,1,29
Vestido,,PT/BC,,p,49.9,1035,prirocha.prs,2026-08-04,1,9
Cal̤a,Jeans,Azul,,36,49.9,1072,carminhacorradi,2026-08-04,1,10
Camiseta,Hello Kitty,Preto(a),,m,49.9,515,mariadasdoresteixeiralopes,2026-08-04,1,3
Camiseta,Hello Kitty,Preto(a),,m,49.9,515,_litikoa,2026-08-04,1,11
Camiseta,Garfield,Offwhite,,,49.9,639,faccocarmem,2026-08-04,1,12
Cal̤a,,Verde,,38,49.9,289,_rose_ciavarelli_,2026-08-04,1,13
Camiseta,Cereja,Cinza,,p,49.9,1216,anapaula_pirolli,2026-08-04,1,24
Cal̤a,,Verde,,36-38,49.9,1025,netaribeiro81,2026-08-04,1,14
top e bermuda,Academia,Preto(a),,,49.9,924,fabifrancolima,2026-08-04,1,34
Camiseta,,Cinza,Reserva,6,49.9,123,scurselbettio,2026-08-04,1,15
Camiseta,Florido(a),Terra cota,Levis,p,49.9,515,grazi_santospb,2026-08-04,1,16
Camiseta,Florido(a),Colorido(a),Bento,8,49.9,802,camilonca,2026-08-04,1,17
Camiseta,,Azul,Bento,8,49.9,805,renatacasotti.rc,2026-08-04,1,6
Vestido,,Vermelho(a),Anime,8,49.9,639,mariadasdoresteixeiralopes,2026-08-04,1,3
Vestido,,Vermelho(a),Anime,14,49.9,570,mariadasdoresteixeiralopes,2026-08-04,1,3
Vestido,Bolinhas,Azul,Le Lis Petit,10,49.9,570,_rose_ciavarelli_,2026-08-04,1,13
Cal̤a,Moletom,Branco(a),Hering,4-5,49.9,243,dulcilenenosaki,2026-08-04,1,18
Camiseta manga longa,,Bege,Charpey,8,49.9,1819,carol.andrade.e.m,2026-08-04,1,19
Batinha,,Bege,Milon,10,49.9,445,mariadasdoresteixeiralopes,2026-08-04,1,3
Vestido,Los Angeles,Preto(a),,11-12,49.9,889,mariadasfloresbh,2026-08-04,1,21
Sueter,Snoop,Bege,,5-6,49.9,1491,mariadasdoresteixeiralopes,2026-08-04,1,3
Cal̤a,,Marrom,Jeans Losophx,38,49.9,1666,narjaraavila,2026-08-04,1,8
Camiseta manga longa,Mulher maravilha,Rosa,Zara,6,49.9,1680,taticarmona_,2026-08-04,1,2
Vestido,,Rosa,Undernachion,10-12,49.9,1811,souza_sandraa_,2026-08-04,1,4
Blusinha,,Rosa,Anime,6,49.9,516,scurselbettio,2026-08-04,1,15
Camiseta,k pop,Rosa,Zara,13-14,49.9,1308,julianadoval_,2026-08-04,1,20
Pijama,Pinguin,Vinho,,,49.9,190,mariadasdoresteixeiralopes,2026-08-04,1,3
Tenis,,Fruta cor,Pampili,32,49.9,1432,thaisldemiranda,2026-08-04,1,22
Macacao,,Dourado(a),Anime,3,49.9,874,joilmamarquesdes,2026-08-04,1,23
Corta Vento,,Laranja,,16,49.9,251,anapaula_pirolli,2026-08-04,1,24
Conj camiseta e bermuda,,Laranja,momi,,49.9,826,santosahri,2026-08-04,1,7
Vestido,Animal Print,Bege,Hering,4-5,49.9,129,carminhacorradi,2026-08-04,1,10
Vestido,,Verde,momi,4,49.9,942,mariajoseduarte1140,2026-08-04,1,26
